target_mhz,seed,route_status,reported_clock,achieved_mhz,timing_status,log_path,report_path
25,1,PASS,$glbnet$clk$TRELLIS_IO_IN,38.863624572753906,PASS,/Users/Dilan/Projects/from-rtl-to-pixels/build/impl/arch-a/640x480/route/freq-25MHz-seed-1/nextpnr.log,/Users/Dilan/Projects/from-rtl-to-pixels/build/impl/arch-a/640x480/route/freq-25MHz-seed-1/nextpnr-report.json
50,1,PASS,$glbnet$clk$TRELLIS_IO_IN,38.863624572753906,FAIL,/Users/Dilan/Projects/from-rtl-to-pixels/build/impl/arch-a/640x480/route/freq-50MHz-seed-1/nextpnr.log,/Users/Dilan/Projects/from-rtl-to-pixels/build/impl/arch-a/640x480/route/freq-50MHz-seed-1/nextpnr-report.json
35,1,PASS,$glbnet$clk$TRELLIS_IO_IN,38.863624572753906,PASS,/Users/Dilan/Projects/from-rtl-to-pixels/build/impl/arch-a/640x480/route/freq-35MHz-seed-1/nextpnr.log,/Users/Dilan/Projects/from-rtl-to-pixels/build/impl/arch-a/640x480/route/freq-35MHz-seed-1/nextpnr-report.json
